k1,b,precision@10,recall@10,MAP,MRR
0.5,0.0,0.18577777777777776,0.3200505311586323,0.247167973495698,0.47076626701096796
0.5,0.75,0.20444444444444446,0.3479927697479297,0.27029989158778595,0.506181224483786
0.5,1.0,0.20533333333333334,0.35629176269398144,0.27014012571694074,0.4970181416012707
1.2,0.0,0.192,0.32995514941619175,0.2572251627936087,0.49413014324502275
1.2,0.75,0.216,0.36313203299013413,0.2841289726499578,0.5137236312972033
1.2,1.0,0.21555555555555556,0.3714419756752058,0.2854682221431699,0.5254016400037154
2.0,0.0,0.19333333333333333,0.3346756406170751,0.2597006459472056,0.4978683930990491
2.0,0.75,0.22177777777777777,0.371823890515325,0.2933614786909037,0.5401581864022075
2.0,1.0,0.21733333333333332,0.372482979696602,0.2876441401341444,0.5347177281917168
