query_id,AP_vector,AP_bm25,AP_diff (bm25 - vector),abs_diff
81,0.26666666666666666,1.0,0.7333333333333334,0.7333333333333334
178,0.6421568627450981,0.16741926655719758,-0.4747375961879005,0.4747375961879005
154,0.5833333333333333,1.0,0.41666666666666674,0.41666666666666674
173,0.5833333333333333,1.0,0.41666666666666674,0.41666666666666674
145,0.5911110556401488,0.17714205768901034,-0.4139689979511384,0.4139689979511384
167,0.11688311688311688,0.5,0.38311688311688313,0.38311688311688313
118,0.14544513457556937,0.5131578947368421,0.36771276016127274,0.36771276016127274
77,0.6240740740740741,0.2886679292929293,-0.33540614478114483,0.33540614478114483
36,0.18229166666666666,0.5163934426229508,0.3341017759562842,0.3341017759562842
144,0.7338235294117647,0.4135327635327635,-0.3202907658790011,0.3202907658790011
15,0.7,1.0,0.30000000000000004,0.30000000000000004
191,0.6502414777807727,0.36569279698031887,-0.2845486808004538,0.2845486808004538
146,0.8333333333333333,0.5833333333333333,-0.25,0.25
143,0.45,0.7,0.24999999999999994,0.24999999999999994
85,0.019265129909148797,0.2648519189204977,0.2455867890113489,0.2455867890113489
106,0.2119832548403977,0.4516410337719994,0.23965777893160167,0.23965777893160167
148,0.39832251082251086,0.1874655795547764,-0.21085693126773444,0.21085693126773444
136,0.20292682926829272,0.4123931623931623,0.2094663331248696,0.2094663331248696
170,0.5409703612576041,0.35808720112517584,-0.18288316013242828,0.18288316013242828
25,0.5253094434991991,0.7062931881383289,0.1809837446391298,0.1809837446391298
60,0.4547342995169082,0.27415584415584415,-0.18057845536106404,0.18057845536106404
5,0.14974323062558356,0.32756410256410257,0.177820871938519,0.177820871938519
78,0.5074074074074074,0.6805555555555555,0.17314814814814805,0.17314814814814805
113,0.34698417930125247,0.17406507054529605,-0.17291910875595642,0.17291910875595642
18,0.18573842546445285,0.3559328015811392,0.17019437611668636,0.17019437611668636
130,0.603030303030303,0.43787878787878787,-0.16515151515151516,0.16515151515151516
192,0.4256410256410257,0.5904761904761905,0.1648351648351648,0.1648351648351648
208,0.20635133809992792,0.36971916971916974,0.16336783161924182,0.16336783161924182
179,0.14499610130349153,0.3049756842371394,0.15997958293364786,0.15997958293364786
14,0.225,0.07118055555555555,-0.15381944444444445,0.15381944444444445
64,0.375,0.525,0.15000000000000002,0.15000000000000002
172,0.6220238095238095,0.7708333333333333,0.14880952380952372,0.14880952380952372
169,0.14606522509748315,0.2907508234187,0.14468559832121686,0.14468559832121686
43,0.6685185185185185,0.5268566059263733,-0.14166191259214522,0.14166191259214522
84,0.23453799542220732,0.3740065415337948,0.1394685461115875,0.1394685461115875
110,0.28795574580458305,0.1497225684532186,-0.13823317735136445,0.13823317735136445
206,0.14450458931513296,0.28004022121669175,0.1355356319015588,0.1355356319015588
132,0.6049511950374019,0.7402731712731713,0.13532197623576936,0.13532197623576936
190,0.2898934398934399,0.42363636363636364,0.13374292374292374,0.13374292374292374
92,0.6228511823583835,0.4921269292840202,-0.13072425307436336,0.13072425307436336
21,0.1790160642570281,0.054049304209766336,-0.12496676004726176,0.12496676004726176
24,0.47301587301587295,0.3522012578616352,-0.12081461515423775,0.12081461515423775
7,0.14064762678740736,0.25713481340614364,0.11648718661873628,0.11648718661873628
168,0.23333333333333334,0.11904761904761904,-0.1142857142857143,0.1142857142857143
91,0.2462961453971972,0.36024973688529427,0.11395359148809706,0.11395359148809706
65,0.35637660770504553,0.24256121681885787,-0.11381539088618767,0.11381539088618767
187,0.19233330989636202,0.3056623801514285,0.11332907025506647,0.11332907025506647
88,0.7329365079365079,0.6218253968253968,-0.11111111111111105,0.11111111111111105
67,0.6153550788755917,0.5058738521479944,-0.1094812267275973,0.1094812267275973
193,0.7221290707206199,0.831530760452329,0.10940168973170905,0.10940168973170905
101,0.7291666666666665,0.6208333333333333,-0.10833333333333317,0.10833333333333317
133,0.14557042659774133,0.2519047619047619,0.10633433530702058,0.10633433530702058
180,0.3754744002864303,0.47765772975856996,0.10218332947213965,0.10218332947213965
209,0.23640530267445878,0.1417806603112093,-0.09462464236324947,0.09462464236324947
222,0.6834431502693065,0.7771475012854325,0.09370435101612606,0.09370435101612606
164,0.36891677121328287,0.2761034454238197,-0.09281332578946316,0.09281332578946316
200,0.3244047619047619,0.4166666666666667,0.09226190476190477,0.09226190476190477
97,0.11266488287015655,0.20459484520636204,0.09192996233620548,0.09192996233620548
162,0.17610405299309254,0.26562264328808444,0.0895185902949919,0.0895185902949919
161,0.4467237941875622,0.5348068247653095,0.0880830305777473,0.0880830305777473
160,0.03593974802603205,0.12025597215350536,0.0843162241274733,0.0843162241274733
