config,precision@50,recall@50,MAP,MRR
nada,0.07173333333333333,0.5551695691362875,0.2384798706839864,0.47783236172574367
stopwords,0.0744,0.5772638522086406,0.2473077957498291,0.4781375804945315
stemming,0.07875555555555555,0.6028374526421482,0.2606786142596755,0.4922011405947545
ambas,0.08071111111111111,0.6244723353606222,0.2711031991559615,0.5035694021453888
